ID;Age;Sexe;Situation professionnelle avant le confinement;Useless Column;Useless Column;cognitive_rigidity_1;cognitive_rigidity_2;cognitive_rigidity_3;cognitive_rigidity_4;att_switch_1;att_switch_2;att_switch_3;att_switch_4;att_switch_5;att_switch_6;att_switch_7;att_switch_8;att_switch_9;att_switch_10;nflex_1;nflex_2;nflex_3;nflex_4;nflex_5;nflex_6;nflex_7;nflex_8;nflex_9;nflex_10;cfs_1;cfs_2;cfs_3;cfs_4;cfs_5;cfs_6;cfs_7;cfs_8;cfs_9;cfs_10;cfs_11;cfs_12;Error countNombre_error_count;Pourcentage_error_count;Nombre_perseveration_error_count;Pourcentage_perseveration_error_count;Nombre_non_perseveration_error_count;Pourcentage_non_perseveration_error_count
1;23;Femme;Etudiant;;;6;2;5;6;4;4;4;4;2;2;4;3;4;3;5;3;4;4;5;4;4;6;3;6;6;4;5;4;5;6;4;5;5;2;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2;22;Homme;Travailleur;;;3;3;1;5;2;2;3;2;3;3;4;3;2;1;5;6;2;5;6;6;5;5;4;5;6;1;1;3;2;4;4;3;4;1;6;6;10;17;7;12;3;5
3;26;Homme;Etudiant;;;3;4;3;3;3;3;2;3;2;2;2;3;3;2;4;5;3;4;5;5;4;4;3;4;4;3;2;4;4;6;4;3;4;3;5;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4;21;Homme;Etudiant;;;2;3;5;4;3;2;2;1;4;1;3;4;1;1;4;4;1;4;3;4;2;4;2;4;6;1;2;4;1;5;4;3;3;1;5;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5;21;Femme;Etudiant;;;5;3;3;5;4;2;4;2;4;3;3;4;3;2;6;6;3;5;3;5;4;5;5;6;5;3;1;6;3;5;6;5;5;3;6;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6;22;Homme;Etudiant;;;3;4;3;3;2;1;1;2;2;3;2;2;2;3;4;4;3;4;5;3;4;4;4;5;4;3;3;4;3;4;5;5;3;3;4;3;8;13;5;8;3;5
7;21;Femme;Etudiant;;;4;4;3;4;2;2;2;3;3;2;4;2;3;2;4;4;4;3;5;6;3;2;2;3;4;3;3;4;4;5;5;5;3;3;5;5;10;17;6;10;4;7
8;21;Femme;Etudiant;;;3;5;3;3;4;3;3;4;1;2;2;1;2;3;6;4;5;5;2;3;2;4;1;3;4;3;3;6;2;6;3;4;4;2;3;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
9;20;Femme;Etudiant;;;1;6;1;2;4;4;4;3;2;3;3;2;1;3;6;4;6;6;4;2;1;6;1;6;5;3;4;3;3;6;5;1;6;3;6;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
10;23;Femme;Etudiant;;;5;3;4;3;4;3;3;3;4;2;4;3;3;1;6;4;4;5;1;6;2;5;2;5;6;1;5;4;4;6;4;3;4;2;6;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
11;29;Homme;Travailleur;;;2;6;2;3;3;2;3;2;4;2;4;4;3;2;6;6;5;5;4;6;2;5;3;4;5;2;2;4;3;5;6;6;5;3;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
12;22;Femme;Etudiant;;;3;2;4;4;4;3;4;3;1;2;3;3;4;2;6;5;4;4;4;6;3;4;4;3;6;1;1;4;1;6;6;6;4;3;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
13;20;Femme;Etudiant;;;2;2;4;4;4;3;4;4;4;3;3;3;2;2;4;4;2;3;1;5;4;5;5;4;4;2;1;4;2;5;5;4;4;2;4;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
14;23;Femme;Travailleur;;;4;4;3;6;4;3;4;2;1;3;2;3;4;4;3;6;6;4;4;5;4;6;4;6;6;4;5;4;6;4;5;6;5;2;6;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
15;22;Femme;Etudiant;;;4;4;3;3;1;2;3;2;4;3;3;2;3;3;3;4;4;4;4;3;4;3;3;4;6;3;3;4;3;5;4;4;4;3;5;4;8;13;8;13;0;0
16;24;Femme;Etudiant;;;2;4;2;3;3;3;3;4;4;2;4;2;4;3;5;4;4;4;5;5;3;5;2;6;4;1;1;4;1;4;3;3;4;3;4;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
17;24;Homme;Travailleur;;;2;2;2;5;3;2;3;3;3;3;3;4;3;2;4;6;4;4;6;6;4;4;4;5;5;3;5;5;3;2;5;6;6;1;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
18;22;Femme;Etudiant;;;4;3;4;4;3;3;3;4;3;3;3;3;2;3;5;3;3;4;4;4;4;5;3;4;5;3;4;4;3;4;3;3;5;4;4;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
19;25;Femme;Etudiant;;;6;4;4;4;1;2;1;4;2;3;3;3;3;4;3;4;4;4;6;5;5;3;4;6;3;4;3;3;5;3;5;4;6;6;6;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
20;23;Femme;Etudiant;;;4;6;2;4;3;4;3;1;4;2;4;3;3;2;4;5;3;4;5;5;2;6;2;6;5;5;6;4;4;5;4;3;6;2;5;1;9;15;8;13;1;2
21;23;Femme;Etudiant;;;4;3;4;2;3;2;4;3;4;3;4;4;3;2;4;4;3;4;4;4;2;4;2;4;5;1;2;4;1;6;4;4;4;2;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
22;23;Femme;Etudiant;;;3;3;5;4;3;2;2;2;2;3;2;2;1;3;4;4;3;3;3;3;3;4;4;4;3;4;3;3;3;4;4;3;4;3;4;3;14;23;9;15;5;18
23;61;Homme;Sans emploi;;;4;3;3;4;3;2;3;2;3;3;3;4;3;2;4;3;2;4;3;4;4;3;3;3;4;4;1;5;1;5;5;5;6;2;6;6;16;27;11;18;5;8
24;22;Femme;Etudiant;;;6;4;2;5;3;2;4;2;2;3;3;3;4;2;6;5;4;5;3;2;3;3;4;5;5;2;1;4;3;4;5;4;5;2;6;3;14;10;4;23;17;7
25;33;Homme;Travailleur;;;2;4;4;4;1;4;2;3;4;3;3;2;2;2;1;5;3;4;6;5;3;5;5;4;5;3;2;5;4;5;5;4;4;2;5;4;10;17;7;12;3;5
26;43;Femme;Travailleur;;;3;3;3;4;3;3;4;3;3;4;4;4;2;3;4;4;4;4;4;4;4;4;3;4;6;2;3;4;2;6;5;4;4;3;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
32;22;Femme;Travailleur;;;2;4;2;5;3;2;4;4;4;3;1;3;3;3;4;4;2;4;4;5;4;6;3;4;6;4;2;5;2;5;3;5;4;6;2;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
33;20;Femme;Etudiant;;;4;3;5;6;1;2;3;2;1;3;2;3;4;4;3;4;4;4;6;3;5;5;5;4;6;6;2;4;3;3;4;4;4;3;5;1;11;18;7;12;4;7
34;25;Femme;Etudiant;;;4;3;3;4;3;2;3;2;3;3;2;4;4;3;4;5;3;4;4;5;4;4;4;5;6;1;2;5;1;6;5;3;4;2;5;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
35;23;Femme;Etudiant;;;4;5;1;3;4;1;3;3;2;2;4;4;4;4;6;4;4;4;2;6;4;2;3;6;6;2;4;2;3;2;5;5;4;4;6;3;8;13;6;10;2;3
36;22;Femme;Etudiant;;;4;4;3;4;4;3;4;4;3;3;2;3;4;4;5;5;2;4;2;3;4;3;4;5;5;4;5;3;4;4;4;5;5;2;6;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
37;51;Femme;Sans emploi;;;3;3;4;4;3;1;3;3;3;3;3;4;3;4;5;4;2;5;4;4;4;3;3;3;4;3;2;3;2;5;4;4;3;2;5;4;10;17;7;12;3;5
38;20;Femme;Etudiant;;;3;6;1;4;4;3;3;3;3;2;2;2;2;3;5;4;6;4;3;5;2;3;2;4;5;3;6;3;2;5;4;4;5;2;5;5;9;15;5;8;4;7
39;22;Femme;Travailleur;;;3;4;3;4;3;2;3;4;3;3;4;3;4;3;4;5;4;6;4;6;2;4;3;6;4;3;4;3;3;5;5;3;4;4;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
40;22;Femme;Etudiant;;;3;4;3;3;1;3;2;3;3;3;3;2;2;2;3;4;4;5;4;4;4;4;3;5;4;2;5;4;3;5;4;4;5;3;5;4;8;13;5;8;3;5
41;23;Homme;Travailleur;;;4;3;4;4;2;2;3;3;1;3;3;3;4;3;4;6;3;4;4;3;5;5;4;5;5;3;2;4;3;6;5;6;4;2;2;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
42;20;Femme;Etudiant;;;2;6;2;4;3;3;4;4;3;2;3;3;2;3;4;4;3;5;3;4;2;4;3;5;4;3;5;3;2;4;3;2;2;4;4;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
43;20;Femme;Etudiant;;;2;3;2;3;3;2;4;2;3;3;2;4;3;2;4;5;4;5;5;6;2;4;1;3;3;3;3;3;2;4;5;6;4;4;6;5;9;15;6;10;3;5
44;20;Femme;Etudiant;;;2;5;2;2;3;3;4;2;3;3;2;3;3;3;5;4;2;5;4;5;5;4;3;3;3;5;4;3;4;2;2;4;4;4;5;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
45;24;Femme;Etudiant;;;6;5;3;3;3;2;4;4;2;3;3;2;2;2;5;5;5;5;5;2;6;5;6;6;4;4;3;5;4;4;6;5;5;4;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
46;23;Homme;Etudiant;;;6;3;5;6;2;3;4;2;3;3;4;4;3;2;3;4;3;4;6;4;4;6;5;6;6;2;3;5;2;5;5;5;5;1;5;2;5;8;5;8;0;0
47;22;Femme;Etudiant;;;3;5;3;4;3;3;3;3;3;2;3;3;2;3;4;5;4;5;6;4;3;6;3;5;5;3;2;4;3;5;4;5;4;4;6;4;8;13;5;8;3;5
48;20;Femme;Etudiant;;;4;5;2;4;4;2;3;2;3;3;3;1;2;4;6;5;6;3;3;2;5;4;1;6;4;5;6;5;6;6;5;5;5;5;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
49;21;Femme;Etudiant;;;2;4;3;4;3;3;3;3;4;2;4;2;1;2;3;4;6;5;5;4;2;3;1;5;5;3;4;4;1;4;5;3;5;4;4;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
50;23;Femme;Etudiant;;;1;4;3;6;4;4;2;2;1;4;4;4;3;4;5;4;6;4;6;3;4;4;5;6;6;5;5;4;2;4;6;6;6;3;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
51;22;Homme;Etudiant;;;6;3;4;2;3;3;4;3;2;3;4;2;4;3;4;3;5;4;3;3;4;6;4;5;3;3;2;6;3;6;5;5;4;3;3;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
52;23;Femme;Travailleur;;;2;4;2;2;3;3;2;2;1;3;3;3;3;3;5;5;4;4;5;3;4;4;2;5;5;5;5;3;3;5;5;4;4;6;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
